original_sha	first_rewrite_sha	remediation_sha	composition
312705348dcf22d668abcbe2edc2df94021ce43e	9cc0163fe4a2366c01e886a26fefdde9c56ac407	b8fa64b517876aa5276eb4270cd5a2fd895808c6	composed-original-first-remediation
313319b8a771a6390fec9c5908486e181221e7d3	17327af8603ed7954e1491dde9a9190f294412f5	a144a955042ceaf28e41e66bbbe4cac194437616	composed-original-first-remediation
33e9557d25666d7552d27fe325e39c399bc85c13	643e840086f183e95a5ffd488ffd7eb59bf36aaa	17da0c7a853ebe5d412d971f79aaf4cfc3fc4eb5	composed-original-first-remediation
34e244bf4f95c0cbfa5b7451f5f12d20aa8891e5	cc1152196b2a9c1e3407e6f8962bbf42c79935ed	caa386a1eaadb9f40cc0915fdaf84fc1b512a98d	composed-original-first-remediation
34e35dba7d52dcb43b56cc8eb42f34ac9ec20df9	41d1b2dd7947f120c830f6d8588da683055133aa	ccf5fdb66a0621927a87e55c0388227441c6d576	direct-original-second-snapshot-github-managed-ref
34eadc9a2587fbe20f13b407896360b709c8ca36	03d128bda6b14c269a55838642c4a481e7d71eed	577626ae034588aecf7145eb21a98bc97ffef20c	direct-original-second-snapshot-github-managed-ref
35a3626103ef07aa693c535a9602aac1b8660d3b	2649d087e076c2133b843354975e23542d165b54	3ca12cbb8bdaf8de2dfee115dd0d545cdb2c77a7	direct-original-second-snapshot-github-managed-ref
37ca2f9d125dab63290306b6c971544e2aadfbc9	222f50b326e74f765a9e97672e757f5dc5777091	39550aa6ab2e1f10d8c7b6c992b1760d3d382e95	composed-original-first-remediation
38b188b74262f62e63374326cf1c2bc916d2e466	5620e30cef747465668fb5cff7becdf4ddede571	6d5ee01e5017c00647c3c89632014c80c1fc455b	direct-original-second-snapshot-github-managed-ref
394d3868c0465bf4dd5915ccc7a67a3a3e64a407	4a5ec65a6517f018ca0ad66b2db919bf290b0ca8	b69dbb4e9ff012cd0a2b8a5b18c9733e8880b6bd	composed-original-first-remediation
3a419f204a1ca5733dfaefc5fed4f3c41fdd0d59	913a2feb869de578a885d3315bbd5df41c8eb7da	e11f1cf600fc4f01b6302c052da785e3ec1bf44c	direct-original-second-snapshot-github-managed-ref
3b628522b73a05247279fae3b5d978dbf0b3dc0c	7a868c6bd8363326d8306c0ef1c9c86f27bb9b67	71aae2fa931012e70f2b70c907f9ba0913004f0b	composed-original-first-remediation
3c21be9385a99165d65430de908090ed556cd6c7	3a7480524a6101d857b9cb96d0ac1249432d9e39	f5aaec945043e85a898d532deec7041329371ca1	direct-original-second-snapshot-github-managed-ref
3c6a7f141f8c29c07bafb79c08df42c7097e604e	f0ed1c0b645194df6cd388b3257e37758a9e2c0a	bb60cb250fd408d466fce014b47c8b327dde65d1	composed-original-first-remediation
3dbe7ccbe0b97a81abe147a49f1bcb6b81c91010	9f3dc8078dd7118cabcd357cc859fd373a71baa9	6d9ed13ccc28f54fe367bb888609d4fffc18429e	direct-original-second-snapshot-github-managed-ref
3dc0fd9fedb6e889dbc460c3a7bb7440bee7d374	81023979a1c66b98aa28d738abe2382ea5cd148f	bc3d633b80f52038c1517ec186ff5dff4f7f2036	direct-original-second-snapshot-github-managed-ref
3ddea83f7dbe4def062b1ce375749617e86ee1b7	8104e25dfe81045c230f6e528396aaabe4ec3b18	9824e0f62f7db4478c9ea3ab22556cd33d021750	direct-original-second-snapshot-github-managed-ref
3e6e762971c63a04ef9678d0f046876ac6fd5392	2e2d4444189b88b88271b9aa984f4796a02d43d1	d9259e1ae5038c66ab8933c22e90063727852228	direct-original-second-snapshot-github-managed-ref
408098133c09c801096c245d9dc2b398fa1d874e	aec54e52a13bb3c747ef8fdb83ad6ad3a9cd88bd	dffa845bf47f08bfddf7bfd8ac38dab1038ff35c	direct-original-second-snapshot-github-managed-ref
41559bab02429bd4ad2f204dca8e5bb173b735d4	cb5777190e48e1ecb3fde11ecfdcad71590af668	0a32e76a0d1560383f6a178daa846d987735bf11	direct-original-second-snapshot-github-managed-ref
42972398b2693a0b7c79dd6be449ce5c6991a803	2c1c44bb8d614b0b6e0bba08183cb6c8cbaf35b2	14c9f3c92938d80d3bb0f8e09435ca2282af55a3	direct-original-second-snapshot-github-managed-ref
451c326200694ae60f7fabcd922b08df36b782a9	28e6b99b32eed9ba71ee7d08feaff32a19fe542a	976a672c30c7630b2b2c38e705ab6471b75d7d54	direct-original-second-snapshot-github-managed-ref
469abc97c8cabd3545cd3d3a13b967432a9708b0	01aabab8e6e9e87fb45f8ba9070dec61be7278a6	77410ead29e7429680e148d39e071976c6c4f436	direct-original-second-snapshot-github-managed-ref
47d4e07c7c73d4b5df8bb621a25cfaa5a0fd7fd9	5684851b56a6e8e975863cd921f2d4e0b915233e	17e130b5f041dcb62a5ad447ac08f5515903c579	composed-original-first-remediation
49b0318bb7e2cd92ed113becce4817304da4b956	30c9d8b0dbbef8d9b65431a8f73a3f6b989757ea	0fe285920ad332d685e9dc23a1a199f8b32d3003	composed-original-first-remediation
4a646e5aecf90e21ddea15dc10b851bf53d40f2f	6017991711c7209dcd24d867562a741e996751ef	dd287fe0080a90d20226d0a5ecb255773223b2f5	direct-original-second-snapshot-github-managed-ref
4ae4811aca9b4e377500c471b26d1c9b5c495384	b022b134394901927f732a24918a5e7f48821725	850de1e516a1d1b370233aeeacf036a6422a384c	direct-original-second-snapshot-github-managed-ref
4ca2c55e19efbd75f67ab2ce2bf1566b54c20977	5e65acdb3a7dc89827642bf93b1f74ff95926c54	2326aab9c6dca3bcfc5954055df3ca2def08e1ad	direct-original-second-snapshot-github-managed-ref
4dbffe95bf78e4395c4e37d9f2f8e3bf76b772db	256d5e78ff26a58d55a1d5a30f923475e3c0cabb	6e4edd68751e0083b362440ba77aee642f2ffdd4	direct-original-second-snapshot-github-managed-ref
51198c587bfeca3c55fc078dd9c82d707c7f7ccb	8d59c688b0d9987c0f1df413c751d20104653909	584ea69daea0ff55706b989f60d6b78968c26ada	composed-original-first-remediation
520bf467143007a03cf986248c27616c323019f2	520bf467143007a03cf986248c27616c323019f2	040646b3ab91b1a02627abb04a68f5778d3691be	composed-original-first-remediation
538a2586a0d7029c189bfda31c4ba05443dd1f8d	384409b92f8caa3ea492280867761cc0bb96d5fc	f4ac6a65fc49c0a56c9f896017301fd4d432095a	direct-original-second-snapshot-github-managed-ref
550b8ec32e046de2850b96e9a8a009e45e2f0589	79e6e369b2c1804d93ec4bdbedb5431240f58ecc	54488f32f9fad498becd40133771663d1dc36135	direct-original-second-snapshot-github-managed-ref
556e0f314d9c745c0ca9ad516e0062c0157bb9ec	3e2e2456d065e85149d292c3bbd62c42bf636aff	1a2625d5c8837e141c91a5714b8fea09b9c9fc57	composed-original-first-remediation
5608098402cce7d5922b2b4768cf1c800467d1a5	a0b5cbe3d3f49e090a257ced6083d09f81137b90	404a65916034c77880092577be548c924d5311db	direct-original-second-snapshot-github-managed-ref
5612cd1a64ed397c6c68da6768cfe2cb3979f5ac	11cd9cef89dc64d71abf680aa6df7e096e27cc51	f494c5961051a5ae22d6ebdd7300d92aa7ead9eb	composed-original-first-remediation
57179008ff4d15461509684ff60fa8b3be81517b	c61180202dbe826a6c4905b5e3f8d2bf60a90783	f839ce36e8d68045207d7ba86427449933ec85fc	direct-original-second-snapshot-github-managed-ref
5818bf935992556661653adbf7912baf5dbad2fd	3bdfcdab6ec16cb6e56f17a874dfcd93953a1dce	e6713e21418031844ebc29dc5b386c17ef4a72c2	direct-original-second-snapshot-github-managed-ref
5976bd4b6120ad3f22596a6f8086815289051b5f	d94428f0ada59c9cc1400c3bb46bfe052b2240e8	1af9f82b3312f6055a49b05917c3652e22e5bf7d	direct-original-second-snapshot-github-managed-ref
5a237b1e20fc34838fcf1fef816fcc5c5ef2ee9d	3ea1f293d6e9eb1a56a829a1be38858bff0a6c80	663c0f384e472da465f8a1ded23de46c5a49648d	direct-original-second-snapshot-github-managed-ref
5b1870c1ee8daf53a56bd47b5df529a94758aae3	7b1b700f2ae7e95fb8ba7fea577deb9600f1da16	52b4b8bf6b27fc027af8de0c328cffcd07da0094	direct-original-second-snapshot-github-managed-ref
5c209eb14632c5fa88088554977b3ba3a1a851ca	3e7280903a730102792229d9b4665f82a4b927d3	d99ebbc500770c8d4cccc1d83972dc9d152dc697	direct-original-second-snapshot-github-managed-ref
5eeb2d2dd084325062da51701b277809ec71e99f	7c2d8a5a6a615079c825b8f986da4987acb7ddca	aba1363a5fad6a8fbc603753c22ce5fa247ee772	direct-original-second-snapshot-github-managed-ref
5f4106c9c5f56ee091b8a6128c459a17a3a553ef	2cfd41922ce7d16d0e18e5a35755b57145c6e952	47f8b4d0af66e87723857886512269a98933a416	direct-original-second-snapshot-github-managed-ref
621e181dde427f8b6d097c93e612a91654a4575d	4f62844166f19152dc7c42cba06ca0e97e4777ae	291d388f0d4b86f7e69c31e410f080b67b81d491	composed-original-first-remediation
6356e643fe1c8a0a535ee5b60b3946285fa611a5	3d121243c00472ea31ba22a07c8966252788f6d5	3787e100148939cfd50561e4e6f0efb44d24e853	direct-original-second-snapshot-github-managed-ref
63f49b040d94348819cdb9349568c5158a5de5f2	0e75ccfe06255a084b08b74da2d754040211fa0b	38ebdd4c49fb39e04538214bc8a7050be6b0d414	direct-original-second-snapshot-github-managed-ref
65b63f88a5d05f0ee98bf45a45d645e9c26b5a22	3ba49f5e86f61bbeacaa7782f4d2d641acd33892	5d2fbc613f64c2c5be91494827453151700cd3eb	composed-original-first-remediation
65c47660b7f1cb8360829003c1df8a9d6311f0b4	bbef7acd1ff49bd4c396818cc5314e43b0ab189e	5c992311e80c902cf928fd2f23a1468ff61129e5	direct-original-second-snapshot-github-managed-ref
66170c8f8338f8b362e6e2a0b26b2ac42c6b9ac2	280e8c65753fe19c0419c89fa1ca83f5d631d552	dcdcfd8b68b499c45fcc81d7a65bf8543728a52e	direct-original-second-snapshot-github-managed-ref
66919bb43e6e5a2418bb91d43a7e948d4619c399	aeff3098cc2d2a4813229f6fd7cd8c21c22b4a42	0ac13d60c92adc9a4f744cde7c589dfdeb2a5c19	composed-original-first-remediation
66fa5b6cd48c35081db105308b8de922fe0705e6	b87e46b200ec6a42743edd60603915498d39debc	0ae977313c20dbb842c8a7610702907253c93939	direct-original-second-snapshot-github-managed-ref
67844fdc648830e6a68104fb82618eb36c3d6ae7	f6f8d48ac18a371e42a915f417d07e405cbe9c66	5421aedc8646997ae2fe21c7391d45588651cfe3	direct-original-second-snapshot-github-managed-ref
684b9d12418b7b22588ea4c1967be85ec1c8f469	f6b5876c503ec59cb93cfcf3afdfc4d1975c3035	28607cd38f27fe3771922a2ceb30f4a2ee685c8f	direct-original-second-snapshot-github-managed-ref
690b44f69f5eef5ddc024b0201c16364ce62593a	0a9a619537d769da116c4157fba023800eba7bd6	52a887c15d8fd7124a32084e8226ad1e1abcf7a3	direct-original-second-snapshot-github-managed-ref
6a48ab7af950cfd898df21b6c0d78dd0283e7fed	746b0ae661fe6750b2b6cbdf8856ee19632480a2	aea1608f3add44122314b8b701dd4987c607f8be	direct-original-second-snapshot-github-managed-ref
6ad79f1c19fce82fd4c7eb733ff8951376265914	34391df0361788e32963a9b4e0e0d251b9b4017b	055dec75fe3ee945a31046045a52b511ba197207	composed-original-first-remediation
6bb9bc8f4b140d6601da1cb6ab235ff1604805c1	2f386814f0c030ffd0356f74eaf1f7a52d9ab3c9	57c1793d535b1d54cc57084b99ff936caed22fa1	composed-original-first-remediation
6e215bcff94009f19ae3b034b6f6e6d7cca2c5d0	9757849f70e7190bd0c2dbbe8373779f4f7cf930	4aaee58f47d5bf47f5eb219f0bbc951bdad3bfb7	composed-original-first-remediation
6fe8218905dfa7f278a908d6cc852d69df4a421e	391933ee4c068cc90c7147725cbb2099713cb5cf	d64ce81497c6b63d53b7f153894ce560742db5d0	direct-original-second-snapshot-github-managed-ref
7003056d28b95aae7ff5831a2b8546147c8bbcc1	af6b396e44532a006cb1e17eab2d386e2181b051	cf390cd5750f2ce02c58286f121fb68bd5f6f86f	direct-original-second-snapshot-github-managed-ref
728139eb07032841b3c7d4103f3791677c63b6f9	44aea273e972ec16b0137308fa68625d095bcd91	903eb8b69129bcb9ee619abf8ac015210c95c023	direct-original-second-snapshot-github-managed-ref
734b7408130e43dda465f85fcb8b0788d92187d3	0402490aaa726d374961e81a94bbdb12f3f3934c	052f9f5f504205c5ad8a03e56a412bd875b98e08	direct-original-second-snapshot-github-managed-ref
734f5e62a0282b08331424cc759868fd9943fc87	a6f5c3aaeedf8caf325f0d313db8244c0f6a2bce	ad95249308991b3d3f3c46e6d93b423f998127bb	composed-original-first-remediation
779ecea9f0cb035b4405fd9dc3b5d4d5f6678e2c	d18f4d830c1f3ae39aac1710b0b5ac86bafd4c3f	1c1fcce9dced4cc2805900742483c80c5a602a93	composed-original-first-remediation
7838e20d9097801928123a469c0047d7ac1ba6ce	eb098ad2bb7971e643620f955fdef409d8ced37c	f98c61751cf661904b561e9c1a459c34b91aa591	direct-original-second-snapshot-github-managed-ref
788e1c7e7b36c18d1654ad297bf4376c02f14777	0e7ce26b7dde61f0f2641e89e1b4372dc39b40c0	ca428d007cce30f0fae88ee44a0769ae37128663	composed-original-first-remediation
